Company,Date,high_mean,low_mean,adj_close_mean,volume_mean
NKE,2021-01-28,136.369995,131.5,130.140015,6244600.0
NKE,2021-01-29,135.029999,132.149994,129.048447,7166100.0
NKE,2021-02-01,136.050003,133.300003,131.09639,4366800.0
NKE,2021-02-02,139.860001,136.75,134.844452,7132800.0
NKE,2021-02-03,140.059998,138.009995,133.917099,4678600.0
NKE,2021-02-04,141.050003,138.919998,135.849106,4533700.0
NKE,2021-02-05,145.570007,141.289993,140.176819,6151500.0
NKE,2021-02-08,145.880005,142.800003,138.534622,6304300.0
NKE,2021-02-09,144.220001,141.699997,136.96965,3436300.0
NKE,2021-02-10,142.600006,140.899994,137.616913,4125700.0
NKE,2021-02-11,144.350006,142.410004,138.660172,3828700.0
NKE,2021-02-12,143.449997,141.399994,137.288452,3637000.0
NKE,2021-02-16,143.369995,141.029999,136.892395,4873400.0
NKE,2021-02-17,144.559998,140.210007,139.094864,6437100.0
NKE,2021-02-18,145.389999,141.210007,140.157516,4486800.0
NKE,2021-02-19,145.5,141.5,137.191879,7486000.0
NKE,2021-02-22,142.460007,136.259995,132.023743,8985900.0
NKE,2021-02-23,136.830002,131.580002,131.50209,10364100.0
NKE,2021-02-24,135.960007,133.949997,131.038391,6360900.0
NKE,2021-02-25,139.179993,134.529999,130.932144,5674300.0
NKE,2021-02-26,136.850006,133.360001,130.462662,6650200.0
NKE,2021-03-01,139.149994,135.5,133.240738,5717800.0
NKE,2021-03-02,138.259995,135.610001,132.630936,5292700.0
NKE,2021-03-03,137.410004,134.149994,129.95932,4888400.0
NKE,2021-03-04,135.130005,130.179993,127.810463,7181500.0
NKE,2021-03-05,133.679993,129.190002,129.078522,5957100.0
NKE,2021-03-08,135.630005,132.369995,130.24971,4983000.0
NKE,2021-03-09,138.0,135.449997,131.59523,5977800.0
NKE,2021-03-10,138.199997,136.100006,133.182663,4519600.0
NKE,2021-03-11,142.199997,138.559998,136.667374,5696500.0
NKE,2021-03-12,140.910004,138.600006,135.95105,4143200.0
NKE,2021-03-15,145.0,140.669998,140.297241,5413900.0
NKE,2021-03-16,146.149994,143.839996,140.016525,5623000.0
NKE,2021-03-17,146.149994,143.199997,140.181122,5134400.0
NKE,2021-03-18,146.660004,142.550003,138.583939,10188400.0
NKE,2021-03-19,142.860001,135.509995,133.085892,24980400.0
NKE,2021-03-22,138.809998,136.029999,133.840912,7537300.0
NKE,2021-03-23,140.639999,136.550003,132.727753,5582600.0
NKE,2021-03-24,137.919998,132.880005,128.894577,8157600.0
NKE,2021-03-25,129.389999,125.440002,124.519356,18475800.0
NKE,2021-03-26,133.190002,129.770004,128.730026,10010500.0
NKE,2021-03-29,133.910004,130.660004,129.214035,7153900.0
NKE,2021-03-30,133.350006,131.220001,128.691315,6026600.0
NKE,2021-03-31,134.179993,131.919998,128.63324,6878900.0
NKE,2021-04-01,134.690002,132.210007,128.28476,5720600.0
NKE,2021-04-05,135.679993,133.100006,130.791794,5508900.0
NKE,2021-04-06,137.710007,134.929993,132.766449,4670100.0
NKE,2021-04-07,138.240005,136.360001,132.16629,6646000.0
NKE,2021-04-08,137.309998,133.410004,129.397934,8748400.0
NKE,2021-04-09,135.5,133.5,131.111221,6056800.0
NKE,2021-04-12,136.899994,134.220001,132.263107,5638200.0
NKE,2021-04-13,135.990005,133.399994,129.262405,8778200.0
NKE,2021-04-14,134.179993,131.820007,128.023407,7354100.0
NKE,2021-04-15,134.070007,132.679993,129.38826,6284800.0
NKE,2021-04-16,134.770004,133.729996,130.007767,6852500.0
NKE,2021-04-19,134.380005,132.149994,128.323502,5613600.0
NKE,2021-04-20,129.899994,125.699997,123.038368,13268700.0
NKE,2021-04-21,130.330002,127.370003,125.738998,7110900.0
NKE,2021-04-22,130.369995,127.980003,125.042046,6442900.0
NKE,2021-04-23,130.649994,128.460007,126.019699,7489000.0
NKE,2021-04-26,131.699997,129.320007,127.38456,8217800.0
NKE,2021-04-27,132.789993,131.410004,127.878212,5833100.0
NKE,2021-04-28,132.330002,130.350006,126.523064,8195400.0
NKE,2021-04-29,134.119995,131.229996,128.991364,6612500.0
NKE,2021-04-30,133.880005,132.050003,128.371872,5643600.0
NKE,2021-05-03,134.449997,132.589996,128.768753,5053000.0
NKE,2021-05-04,132.589996,130.479996,127.336166,6129500.0
NKE,2021-05-05,134.220001,132.080002,127.975014,6234200.0
NKE,2021-05-06,133.839996,131.940002,129.214035,5201000.0
NKE,2021-05-07,139.360001,134.720001,133.39566,10566700.0
NKE,2021-05-10,138.899994,136.300003,132.030777,5669300.0
NKE,2021-05-11,138.380005,135.009995,132.727753,8045400.0
NKE,2021-05-12,136.820007,133.339996,129.117203,5865100.0
NKE,2021-05-13,135.029999,132.490005,129.33017,6284300.0
NKE,2021-05-14,136.679993,134.050003,131.575867,4367900.0
NKE,2021-05-17,137.070007,135.5,132.040466,3934200.0
NKE,2021-05-18,137.470001,135.449997,131.217712,5664700.0
NKE,2021-05-19,133.970001,131.960007,128.701004,5582300.0
NKE,2021-05-20,134.210007,132.190002,129.001053,4934800.0
NKE,2021-05-21,134.169998,132.410004,128.410599,5329700.0
NKE,2021-05-24,134.350006,132.809998,129.765747,4313200.0
NKE,2021-05-25,135.169998,133.850006,130.017471,4885800.0
NKE,2021-05-26,137.919998,135.0,132.505112,6781500.0
NKE,2021-05-27,138.309998,136.460007,132.185699,12882300.0
NKE,2021-05-28,137.350006,136.089996,132.355392,4153500.0
NKE,2021-06-01,138.050003,134.210007,130.464081,5577900.0
NKE,2021-06-02,135.490005,133.529999,130.134293,5226100.0
NKE,2021-06-03,134.690002,132.509995,130.134293,5027400.0
NKE,2021-06-04,134.940002,132.279999,129.717224,5217100.0
